word,english,example,comparative,superlative
groß,big/tall,Der Mann ist groß.,größer,am größten
klein,small/short,Das Kind ist klein.,kleiner,am kleinsten
gut,good,Das Essen ist gut.,besser,am besten
schlecht,bad,Das Wetter ist schlecht.,schlechter,am schlechtesten
neu,new,Das Auto ist neu.,neuer,am neuesten
alt,old,Das Haus ist alt.,älter,am ältesten
schön,beautiful,Die Frau ist schön.,schöner,am schönsten
jung,young,Der Student ist jung.,jünger,am jüngsten
lang,long,Der Tag ist lang.,länger,am längsten
kurz,short,Die Hose ist kurz.,kürzer,am kürzesten
heiß,hot,Der Kaffee ist heiß.,heißer,am heißesten
kalt,cold,Das Wasser ist kalt.,kälter,am kältesten
rot,red,Der Apfel ist rot.,röter,am rötesten
blau,blue,Der Himmel ist blau.,blauer,am blauesten
grün,green,Der Baum ist grün.,grüner,am grünsten
weiß,white,Die Milch ist weiß.,weißer,am weißesten
schwarz,black,Die Nacht ist schwarz.,schwärzer,am schwärzesten
teuer,expensive,Das Auto ist teuer.,teurer,am teuersten
billig,cheap,Das Brot ist billig.,billiger,am billigsten
schnell,fast,Der Zug ist schnell.,schneller,am schnellsten
