word,english,type,example
nicht,not,general,Ich verstehe das nicht.
kein,no/not a,article,Ich habe kein Auto.
keine,no/not a,article,Sie hat keine Zeit.
nichts,nothing,pronoun,Ich verstehe nichts.
niemand,nobody,pronoun,Niemand ist hier.
niemals,never,temporal,Das werde ich niemals tun.
nirgends,nowhere,spatial,Das Buch ist nirgends zu finden.
nirgendwo,nowhere,spatial,Ich sehe ihn nirgendwo.
weder,neither,correlative,Ich spreche weder Französisch noch Spanisch.
gar nicht,not at all,intensifier,Das gefällt mir gar nicht.
überhaupt nicht,not at all,intensifier,Ich bin überhaupt nicht müde. 
nie,never,temporal,Ich war nie in Japan.
