article,type,gender,case,english,example,related_noun
der,definite,masculine,nominative,the,Der Mann ist hier.,Mann
die,definite,feminine,nominative,the,Die Frau arbeitet.,Frau
das,definite,neuter,nominative,the,Das Kind spielt.,Kind
den,definite,masculine,accusative,the,Ich sehe den Mann.,Mann
die,definite,feminine,accusative,the,Ich sehe die Frau.,Frau
das,definite,neuter,accusative,the,Ich sehe das Kind.,Kind
dem,definite,masculine,dative,the,Ich gebe dem Mann das Buch.,Mann
der,definite,feminine,dative,the,Ich gebe der Frau das Buch.,Frau
dem,definite,neuter,dative,the,Ich gebe dem Kind das Buch.,Kind
des,definite,masculine,genitive,the,Das Auto des Mannes ist rot.,Mann
der,definite,feminine,genitive,the,Das Auto der Frau ist rot.,Frau
des,definite,neuter,genitive,the,Das Spielzeug des Kindes ist neu.,Kind
