word,english,example,comparative,superlative
groß,big/tall,Das Haus ist groß.,größer,am größten
klein,small/little,Das Kind ist klein.,kleiner,am kleinsten
alt,old,Der Mann ist alt.,älter,am ältesten
jung,young,Die Frau ist jung.,jünger,am jüngsten
neu,new,Das Auto ist neu.,neuer,am neuesten
gut,good,Das Essen ist gut.,besser,am besten
schlecht,bad,Das Wetter ist schlecht.,schlechter,am schlechtesten
schön,beautiful/nice,Die Blume ist schön.,schöner,am schönsten
hässlich,ugly,Das Bild ist hässlich.,hässlicher,am hässlichsten
lang,long,Der Weg ist lang.,länger,am längsten
kurz,short,Die Hose ist kurz.,kürzer,am kürzesten
hoch,high/tall,Der Berg ist hoch.,höher,am höchsten
niedrig,low,Der Tisch ist niedrig.,niedriger,am niedrigsten
breit,wide,Die Straße ist breit.,breiter,am breitesten
schmal,narrow,Der Gang ist schmal.,schmaler/schmäler,am schmalsten/schmälsten
dick,thick/fat,Das Buch ist dick.,dicker,am dicksten
dünn,thin,Das Papier ist dünn.,dünner,am dünnsten
schwer,heavy/difficult,Die Tasche ist schwer.,schwerer,am schwersten
leicht,light/easy,Die Aufgabe ist leicht.,leichter,am leichtesten
schnell,fast,Das Auto ist schnell.,schneller,am schnellsten
langsam,slow,Die Schnecke ist langsam.,langsamer,am langsamsten
teuer,expensive,Das Hotel ist teuer.,teurer,am teuersten
billig,cheap,Das Essen ist billig.,billiger,am billigsten
reich,rich,Der Mann ist reich.,reicher,am reichsten
arm,poor,Die Familie ist arm.,ärmer,am ärmsten
voll,full,Das Glas ist voll.,voller,am vollsten
leer,empty,Die Flasche ist leer.,leerer,am leersten
warm,warm,Das Wasser ist warm.,wärmer,am wärmsten
kalt,cold,Der Winter ist kalt.,kälter,am kältesten
heiß,hot,Der Sommer ist heiß.,heißer,am heißesten
kühl,cool,Der Abend ist kühl.,kühler,am kühlsten
trocken,dry,Das Handtuch ist trocken.,trockener,am trockensten
nass,wet,Die Straße ist nass.,nasser/nässer,am nassesten/nässesten
sauber,clean,Das Zimmer ist sauber.,sauberer,am saubersten
schmutzig,dirty,Die Schuhe sind schmutzig.,schmutziger,am schmutzigsten
hell,bright/light,Das Zimmer ist hell.,heller,am hellsten
dunkel,dark,Die Nacht ist dunkel.,dunkler,am dunkelsten
laut,loud,Die Musik ist laut.,lauter,am lautesten
leise,quiet,Das Baby ist leise.,leiser,am leisesten
stark,strong,Der Kaffee ist stark.,stärker,am stärksten
schwach,weak,Der Tee ist schwach.,schwächer,am schwächsten
gesund,healthy,Das Kind ist gesund.,gesünder,am gesündesten
krank,sick/ill,Der Mann ist krank.,kränker,am kränksten
müde,tired,Ich bin müde.,müder,am müdesten
wach,awake,Das Baby ist wach.,wacher,am wachsten
froh,glad/happy,Die Kinder sind froh.,froher,am frohesten
traurig,sad,Das Mädchen ist traurig.,trauriger,am traurigsten
glücklich,happy,Die Familie ist glücklich.,glücklicher,am glücklichsten
zufrieden,satisfied/content,Der Kunde ist zufrieden.,zufriedener,am zufriedensten
