phrase,english,context,related
Guten Morgen!,Good morning!,Morning greeting (until 10am),Guten Tag! Guten Abend!
Guten Tag!,Good day!/Hello!,Daytime greeting (10am-6pm),Hallo! Guten Morgen!
Guten Abend!,Good evening!,Evening greeting (after 6pm),Gute Nacht!
Gute Nacht!,Good night!,Bedtime farewell,Schlaf gut!
Auf Wiedersehen!,Goodbye!,Formal farewell,Tschüss! Bis bald!
Tschüss!,Bye!,Informal farewell,Ciao! Bis später!
Bitte,Please/You're welcome,Polite request or response,Bitte schön! Bitte sehr!
Danke,Thank you,Expression of gratitude,Danke schön! Vielen Dank!
Entschuldigung,Excuse me/Sorry,Apology or getting attention,Entschuldigen Sie! Tut mir leid!
Wie heißen Sie?,What is your name? (formal),Formal introduction,Wie heißt du?
Wie heißt du?,What is your name? (informal),Informal introduction,Ich heiße...
Ich heiße...,My name is...,Introducing yourself,Mein Name ist...
Woher kommen Sie?,Where are you from? (formal),Asking origin formally,Woher kommst du?
Ich komme aus...,I come from...,Stating origin,Ich bin aus...
Wie geht es Ihnen?,How are you? (formal),Formal greeting inquiry,Wie geht's?
Wie geht's?,How are you? (informal),Informal greeting inquiry,Wie geht es dir?
Mir geht es gut,I'm fine,Response to how are you,Es geht mir gut
Sprechen Sie Deutsch?,Do you speak German? (formal),Language inquiry formal,Sprichst du Deutsch?
Ich verstehe nicht,I don't understand,Communication difficulty,Ich verstehe das nicht
Können Sie das wiederholen?,Can you repeat that? (formal),Request for repetition,Noch einmal bitte!
