noun,article,english,plural,example,related,word_audio,example_audio,image_path
Haus,das,house,Häuser,Mein Haus ist sehr klein.,"die Wohnung (apartment), das Zimmer (room)",,,
Mann,der,man,Männer,Der Mann geht zur Arbeit.,"die Frau (woman), der Mensch (human)",,,
Frau,die,woman,Frauen,Die Frau kauft ein Buch.,"der Mann (man), das Mädchen (girl)",,,
Kind,das,child,Kinder,Das Kind spielt im Park.,"der Junge (boy), das Mädchen (girl)",,,
Auto,das,car,Autos,Ich fahre mit dem Auto zur Arbeit.,"der Bus (bus), die Bahn (train)",,,
Buch,das,book,Bücher,Sie liest ein interessantes Buch.,"die Zeitung (newspaper), die Zeitschrift (magazine)",,,
Tisch,der,table,Tische,Der Tisch steht in der Küche.,"der Stuhl (chair), der Schrank (cabinet)",,,
Stuhl,der,chair,Stühle,Ich sitze auf dem Stuhl.,"der Tisch (table), die Bank (bench)",,,
Fenster,das,window,Fenster,Das Fenster ist offen.,"die Tür (door), die Wand (wall)",,,
Tür,die,door,Türen,Die Tür ist geschlossen.,"das Fenster (window), das Tor (gate)",,,
Name,der,name,Namen,Mein Name ist Peter.,"der Vorname (first name), der Nachname (last name)",,,
Stadt,die,city,Städte,Berlin ist eine große Stadt.,"das Dorf (village), das Land (country)",,,
Land,das,country,Länder,Deutschland ist ein schönes Land.,"die Stadt (city), der Staat (state)",,,
Wasser,das,water,- (uncountable),Ich trinke gern Wasser.,"der Tee (tea), der Kaffee (coffee)",,,
Brot,das,bread,Brote,Ich esse Brot zum Frühstück.,"die Butter (butter), der Käse (cheese)",,,
Zeit,die,time,Zeiten,Ich habe keine Zeit.,"die Uhr (clock), der Tag (day)",,,
Tag,der,day,Tage,Heute ist ein schöner Tag.,"die Nacht (night), die Woche (week)",,,
Woche,die,week,Wochen,Ich arbeite fünf Tage pro Woche.,"der Tag (day), der Monat (month)",,,
Monat,der,month,Monate,In einem Jahr gibt es zwölf Monate.,"die Woche (week), das Jahr (year)",,,
Jahr,das,year,Jahre,Nächstes Jahr fahre ich nach Deutschland.,"der Monat (month), die Zeit (time)",,,
Uhr,die,clock/watch,Uhren,Wie spät ist es? Es ist drei Uhr.,"die Zeit (time), die Minute (minute)",,,
Freund,der,friend,Freunde,Er ist mein bester Freund.,"die Freundin (female friend), der Kollege (colleague)",,,
Familie,die,family,Familien,Meine Familie wohnt in München.,"die Eltern (parents), das Kind (child)",,,
Mutter,die,mother,Mütter,Meine Mutter kocht sehr gut.,"der Vater (father), die Eltern (parents)",,,
Vater,der,father,Väter,Mein Vater arbeitet viel.,"die Mutter (mother), die Eltern (parents)",,,
Bruder,der,brother,Brüder,Mein Bruder ist älter als ich.,"die Schwester (sister), die Geschwister (siblings)",,,
Schwester,die,sister,Schwestern,Meine Schwester studiert Medizin.,"der Bruder (brother), die Geschwister (siblings)",,,
Schule,die,school,Schulen,Die Kinder gehen in die Schule.,"die Universität (university), der Kindergarten (kindergarten)",,,
Lehrer,der,teacher,Lehrer,Der Lehrer erklärt die Grammatik.,"die Lehrerin (female teacher), der Professor (professor)",,,
Schüler,der,student (school),Schüler,Die Schüler lernen Deutsch.,"die Schülerin (female student), der Student (university student)",,,
Student,der,student (university),Studenten,Der Student besucht die Vorlesung.,"die Studentin (female student), der Schüler (school student)",,,
Hand,die,hand,Hände,Sie wäscht ihre Hände.,"der Finger (finger), der Arm (arm)",,,
Fuß,der,foot,Füße,Er hat große Füße.,"das Bein (leg), der Zeh (toe)",,,
Kopf,der,head,Köpfe,Mein Kopf tut weh.,"das Gesicht (face), das Haar (hair)",,,
Auge,das,eye,Augen,Sie hat blaue Augen.,"die Nase (nose), der Mund (mouth)",,,
Nase,die,nose,Nasen,Er hat eine große Nase.,"der Mund (mouth), das Gesicht (face)",,,
Mund,der,mouth,Münder,Sie öffnet den Mund.,"die Lippe (lip), die Zunge (tongue)",,,
Ohr,das,ear,Ohren,Ich höre mit den Ohren.,"die Nase (nose), das Gesicht (face)",,,
Haar,das,hair,Haare,Sie hat lange Haare.,"der Kopf (head), die Frisur (hairstyle)",,,
Bein,das,leg,Beine,Meine Beine sind müde.,"der Fuß (foot), der Arm (arm)",,,
Arm,der,arm,Arme,Er hat starke Arme.,"die Hand (hand), die Schulter (shoulder)",,,
Baum,der,tree,Bäume,Der Baum ist sehr groß.,"die Pflanze (plant), der Wald (forest)",,,
Blume,die,flower,Blumen,Diese Blume riecht gut.,"die Pflanze (plant), der Garten (garden)",,,
Obst,das,fruit,- (uncountable),Obst ist gesund.,"das Gemüse (vegetables), der Apfel (apple)",,,
Apfel,der,apple,Äpfel,Der Apfel ist rot.,"die Banane (banana), die Birne (pear)",,,
Banane,die,banana,Bananen,Ich esse eine Banane zum Frühstück.,"der Apfel (apple), die Orange (orange)",,,
Wetter,das,weather,- (no plural),Das Wetter ist heute schön.,"die Sonne (sun), der Regen (rain)",,,
Sonne,die,sun,Sonnen,Die Sonne scheint.,"der Mond (moon), der Himmel (sky)",,,
Regen,der,rain,- (no plural),Es gibt heute Regen.,"der Schnee (snow), das Wetter (weather)",,,
