verb,english,classification,present_ich,present_du,present_er,präteritum,auxiliary,perfect,example
sein,to be,unregelmäßig,bin,bist,ist,war,sein,ist gewesen,Ich bin zu Hause.
haben,to have,unregelmäßig,habe,hast,hat,hatte,haben,hat gehabt,Ich habe ein Buch.
gehen,to go,unregelmäßig,gehe,gehst,geht,ging,sein,ist gegangen,Er geht zur Schule.
kommen,to come,unregelmäßig,komme,kommst,kommt,kam,sein,ist gekommen,Sie kommt aus Deutschland.
machen,to do/make,regelmäßig,mache,machst,macht,machte,haben,hat gemacht,Ich mache meine Hausaufgaben.
wohnen,to live,regelmäßig,wohne,wohnst,wohnt,wohnte,haben,hat gewohnt,Wir wohnen in Berlin.
arbeiten,to work,regelmäßig,arbeite,arbeitest,arbeitet,arbeitete,haben,hat gearbeitet,Er arbeitet in einer Bank.
spielen,to play,regelmäßig,spiele,spielst,spielt,spielte,haben,hat gespielt,Die Kinder spielen im Park.
lernen,to learn,regelmäßig,lerne,lernst,lernt,lernte,haben,hat gelernt,Ich lerne Deutsch.
studieren,to study,regelmäßig,studiere,studierst,studiert,studierte,haben,hat studiert,Sie studiert Medizin.
essen,to eat,unregelmäßig,esse,isst,isst,aß,haben,hat gegessen,Wir essen Frühstück.
trinken,to drink,unregelmäßig,trinke,trinkst,trinkt,trank,haben,hat getrunken,Er trinkt einen Kaffee.
schlafen,to sleep,unregelmäßig,schlafe,schläfst,schläft,schlief,haben,hat geschlafen,Das Kind schläft.
lesen,to read,unregelmäßig,lese,liest,liest,las,haben,hat gelesen,Ich lese ein Buch.
schreiben,to write,unregelmäßig,schreibe,schreibst,schreibt,schrieb,haben,hat geschrieben,Er schreibt einen Brief.
sehen,to see,unregelmäßig,sehe,siehst,sieht,sah,haben,hat gesehen,Ich sehe den Film.
hören,to hear/listen,regelmäßig,höre,hörst,hört,hörte,haben,hat gehört,Sie hört Musik.
sprechen,to speak,unregelmäßig,spreche,sprichst,spricht,sprach,haben,hat gesprochen,Wir sprechen Deutsch.
verstehen,to understand,unregelmäßig,verstehe,verstehst,versteht,verstand,haben,hat verstanden,Ich verstehe die Frage.
fragen,to ask,regelmäßig,frage,fragst,fragt,fragte,haben,hat gefragt,Er fragt nach dem Weg.
antworten,to answer,regelmäßig,antworte,antwortest,antwortet,antwortete,haben,hat geantwortet,Sie antwortet auf die Frage.
kaufen,to buy,regelmäßig,kaufe,kaufst,kauft,kaufte,haben,hat gekauft,Ich kaufe ein Brot.
verkaufen,to sell,regelmäßig,verkaufe,verkaufst,verkauft,verkaufte,haben,hat verkauft,Er verkauft sein Auto.
bezahlen,to pay,regelmäßig,bezahle,bezahlst,bezahlt,bezahlte,haben,hat bezahlt,Ich bezahle die Rechnung.
kosten,to cost,regelmäßig,koste,kostest,kostet,kostete,haben,hat gekostet,Das Buch kostet 10 Euro.
suchen,to search/look for,regelmäßig,suche,suchst,sucht,suchte,haben,hat gesucht,Sie sucht ihre Schlüssel.
finden,to find,unregelmäßig,finde,findest,findet,fand,haben,hat gefunden,Ich finde das interessant.
beginnen,to begin,unregelmäßig,beginne,beginnst,beginnt,begann,haben,hat begonnen,Der Kurs beginnt um 9 Uhr.
öffnen,to open,regelmäßig,öffne,öffnest,öffnet,öffnete,haben,hat geöffnet,Er öffnet die Tür.
schließen,to close,unregelmäßig,schließe,schließt,schließt,schloss,haben,hat geschlossen,Sie schließt das Fenster.
geben,to give,unregelmäßig,gebe,gibst,gibt,gab,haben,hat gegeben,Ich gebe dir das Buch.
nehmen,to take,unregelmäßig,nehme,nimmst,nimmt,nahm,haben,hat genommen,Er nimmt den Bus zur Arbeit.
bringen,to bring,gemischt,bringe,bringst,bringt,brachte,haben,hat gebracht,Ich bringe dir einen Kaffee.
tragen,to carry/wear,unregelmäßig,trage,trägst,trägt,trug,haben,hat getragen,Sie trägt ein rotes Kleid.
fahren,to drive/go,unregelmäßig,fahre,fährst,fährt,fuhr,sein,ist gefahren,Wir fahren nach Berlin.
fliegen,to fly,unregelmäßig,fliege,fliegst,fliegt,flog,sein,ist geflogen,Das Flugzeug fliegt nach London.
reisen,to travel,regelmäßig,reise,reist,reist,reiste,sein,ist gereist,Ich reise gerne.
stehen,to stand,unregelmäßig,stehe,stehst,steht,stand,haben,hat gestanden,Der Tisch steht in der Küche.
sitzen,to sit,unregelmäßig,sitze,sitzt,sitzt,saß,haben,hat gesessen,Er sitzt auf dem Stuhl.
liegen,to lie,unregelmäßig,liege,liegst,liegt,lag,haben,hat gelegen,Das Buch liegt auf dem Tisch.
warten,to wait,regelmäßig,warte,wartest,wartet,wartete,haben,hat gewartet,Ich warte auf den Bus.
