noun,article,english,plural,example,related
Haus,das,house,Häuser,Mein Haus ist sehr klein.,"die Wohnung, das Zimmer"
Mann,der,man,Männer,Der Mann geht zur Arbeit.,"die Frau, der Mensch"
Frau,die,woman,Frauen,Die Frau kauft ein Buch.,"der Mann, das Mädchen"
Kind,das,child,Kinder,Das Kind spielt im Park.,"der Junge, das Mädchen"
Auto,das,car,Autos,Ich fahre mit dem Auto zur Arbeit.,"der Bus, die Bahn"
Buch,das,book,Bücher,Sie liest ein interessantes Buch.,"die Zeitung, die Zeitschrift"
Tisch,der,table,Tische,Der Tisch steht in der Küche.,"der Stuhl, der Schrank"
Stuhl,der,chair,Stühle,Ich sitze auf dem Stuhl.,"der Tisch, die Bank"
Fenster,das,window,Fenster,Das Fenster ist offen.,"die Tür, die Wand"
Tür,die,door,Türen,Die Tür ist geschlossen.,"das Fenster, das Tor"
Name,der,name,Namen,Mein Name ist Peter.,"der Vorname, der Nachname"
Stadt,die,city,Städte,Berlin ist eine große Stadt.,"das Dorf, das Land"
Land,das,country,Länder,Deutschland ist ein schönes Land.,"die Stadt, der Staat"
Wasser,das,water,- (uncountable),Ich trinke gern Wasser.,"der Tee, der Kaffee"
Brot,das,bread,Brote,Ich esse Brot zum Frühstück.,"die Butter, der Käse"
Zeit,die,time,Zeiten,Ich habe keine Zeit.,"die Uhr, der Tag"
Tag,der,day,Tage,Heute ist ein schöner Tag.,"die Nacht, die Woche"
Woche,die,week,Wochen,Ich arbeite fünf Tage pro Woche.,"der Tag, der Monat"
Monat,der,month,Monate,In einem Jahr gibt es zwölf Monate.,"die Woche, das Jahr"
Jahr,das,year,Jahre,Nächstes Jahr fahre ich nach Deutschland.,"der Monat, die Zeit"
Uhr,die,clock/watch,Uhren,Wie spät ist es? Es ist drei Uhr.,"die Zeit, die Minute"
Freund,der,friend,Freunde,Er ist mein bester Freund.,"die Freundin, der Kollege"
Familie,die,family,Familien,Meine Familie wohnt in München.,"die Eltern, das Kind"
Mutter,die,mother,Mütter,Meine Mutter kocht sehr gut.,"der Vater, die Eltern"
Vater,der,father,Väter,Mein Vater arbeitet viel.,"die Mutter, die Eltern"
Bruder,der,brother,Brüder,Mein Bruder ist älter als ich.,"die Schwester, die Geschwister"
Schwester,die,sister,Schwestern,Meine Schwester studiert Medizin.,"der Bruder, die Geschwister"
Schule,die,school,Schulen,Die Kinder gehen in die Schule.,"die Universität, der Kindergarten"
Lehrer,der,teacher,Lehrer,Der Lehrer erklärt die Grammatik.,"die Lehrerin, der Professor"
Schüler,der,student (school),Schüler,Die Schüler lernen Deutsch.,"die Schülerin, der Student"
Student,der,student (university),Studenten,Der Student besucht die Vorlesung.,"die Studentin, der Schüler"
Hand,die,hand,Hände,Sie wäscht ihre Hände.,"der Finger, der Arm"
Fuß,der,foot,Füße,Er hat große Füße.,"das Bein, der Zeh"
Kopf,der,head,Köpfe,Mein Kopf tut weh.,"das Gesicht, das Haar"
Auge,das,eye,Augen,Sie hat blaue Augen.,"die Nase, der Mund"
Nase,die,nose,Nasen,Er hat eine große Nase.,"der Mund, das Gesicht"
Mund,der,mouth,Münder,Sie öffnet den Mund.,"die Lippe, die Zunge"
Ohr,das,ear,Ohren,Ich höre mit den Ohren.,"die Nase, das Gesicht"
Haar,das,hair,Haare,Sie hat lange Haare.,"der Kopf, die Frisur"
Bein,das,leg,Beine,Meine Beine sind müde.,"der Fuß, der Arm"
Arm,der,arm,Arme,Er hat starke Arme.,"die Hand, die Schulter"
Baum,der,tree,Bäume,Der Baum ist sehr groß.,"die Pflanze, der Wald"
Blume,die,flower,Blumen,Diese Blume riecht gut.,"die Pflanze, der Garten"
Obst,das,fruit,- (uncountable),Obst ist gesund.,"das Gemüse, der Apfel"
Apfel,der,apple,Äpfel,Der Apfel ist rot.,"die Banane, die Birne"
Banane,die,banana,Bananen,Ich esse eine Banane zum Frühstück.,"der Apfel, die Orange"
Wetter,das,weather,- (no plural),Das Wetter ist heute schön.,"die Sonne, der Regen"
Sonne,die,sun,Sonnen,Die Sonne scheint.,"der Mond, der Himmel"
Regen,der,rain,- (no plural),Es gibt heute Regen.,"der Schnee, das Wetter"
Wind,der,wind,Winde,Der Wind ist stark.,"der Sturm, das Wetter"
Schnee,der,snow,- (no plural),Im Winter gibt es Schnee.,"der Regen, das Eis"
Geld,das,money,- (uncountable),Ich habe nicht viel Geld.,"der Euro, die Münze"
Straße,die,street,Straßen,Er wohnt in dieser Straße.,"der Weg, die Autobahn"
Wohnung,die,apartment,Wohnungen,Unsere Wohnung ist klein aber schön.,"das Haus, das Zimmer"
Zimmer,das,room,Zimmer,Mein Zimmer ist aufgeräumt.,"die Küche, das Badezimmer"
Küche,die,kitchen,Küchen,Die Küche ist modern.,"das Badezimmer, das Wohnzimmer"
Badezimmer,das,bathroom,Badezimmer,Das Badezimmer ist klein.,"die Küche, die Toilette"
Schlafzimmer,das,bedroom,Schlafzimmer,Im Schlafzimmer steht ein Bett.,"das Wohnzimmer, das Bett"
Bett,das,bed,Betten,Ich schlafe in meinem Bett.,"der Stuhl, der Tisch"
Zug,der,train,Züge,Der Zug fährt nach Berlin.,"der Bus, die Bahn"
Bus,der,bus,Busse,Ich fahre mit dem Bus zur Arbeit.,"der Zug, die Straßenbahn"
Fahrrad,das,bicycle,Fahrräder,Er fährt mit dem Fahrrad zur Schule.,"das Auto, das Motorrad"
Flugzeug,das,airplane,Flugzeuge,Das Flugzeug fliegt nach London.,"der Zug, das Schiff"
Beruf,der,profession,Berufe,Was ist dein Beruf?,"die Arbeit, der Job"
Arzt,der,doctor,Ärzte,Der Arzt untersucht den Patienten.,"die Ärztin, die Krankenschwester"
Polizist,der,police officer,Polizisten,Der Polizist hilft den Menschen.,"die Polizistin, die Polizei"
Bäcker,der,baker,Bäcker,Der Bäcker backt frisches Brot.,"die Bäckerin, die Bäckerei"
Telefon,das,telephone,Telefone,Mein Telefon klingelt.,"das Handy, der Anruf"
Handy,das,mobile phone,Handys,Ich habe ein neues Handy.,"das Telefon, der Computer"
Computer,der,computer,Computer,Der Computer ist kaputt.,"das Tablet, das Handy"
Musik,die,music,- (uncountable),Ich höre gerne Musik.,"das Lied, das Instrument"
Film,der,movie,Filme,Der Film ist interessant.,"das Kino, der Fernseher"
Bild,das,picture,Bilder,Das Bild hängt an der Wand.,"das Foto, die Kunst"
Foto,das,photo,Fotos,Ich mache ein Foto.,"das Bild, die Kamera"
Farbe,die,color,Farben,Rot ist meine Lieblingsfarbe.,"blau, grün"
Tier,das,animal,Tiere,Die Kinder lieben Tiere.,"der Hund, die Katze"
Hund,der,dog,Hunde,Der Hund bellt.,"die Katze, das Haustier"
Katze,die,cat,Katzen,Die Katze schläft auf dem Sofa.,"der Hund, das Haustier"
Fisch,der,fish,Fische,Der Fisch schwimmt im Wasser.,"das Tier, das Meer"
Vogel,der,bird,Vögel,Der Vogel singt schön.,"das Tier, die Feder"
Supermarkt,der,supermarket,Supermärkte,Ich kaufe im Supermarkt ein.,"der Laden, der Markt"
Restaurant,das,restaurant,Restaurants,Wir essen im Restaurant.,"das Café, die Kneipe"
Café,das,cafe,Cafés,Das Café ist gemütlich.,"das Restaurant, die Bäckerei"
Hotel,das,hotel,Hotels,Wir übernachten im Hotel.,"die Pension, die Unterkunft"
Geschäft,das,shop,Geschäfte,Das Geschäft ist geschlossen.,"der Laden, der Supermarkt"
Bibliothek,die,library,Bibliotheken,In der Bibliothek leihe ich Bücher aus.,"das Buch, die Universität"
Post,die,post office,Posten,Ich gehe zur Post.,"der Brief, das Paket"
Bank,die,bank,Banken,Die Bank ist geöffnet.,"das Geld, das Konto"
Bahnhof,der,train station,Bahnhöfe,Der Zug fährt vom Bahnhof ab.,"der Zug, die Station"
Flughafen,der,airport,Flughäfen,Der Flughafen ist sehr groß.,"das Flugzeug, die Reise"
Brief,der,letter,Briefe,Ich schreibe einen Brief.,"die E-Mail, die Post"
Zeitung,die,newspaper,Zeitungen,Er liest die Zeitung.,"die Zeitschrift, die Nachrichten"
Nachricht,die,message/news,Nachrichten,Ich habe eine Nachricht bekommen.,"die E-Mail, die SMS"
Karte,die,card/map,Karten,Ich kaufe eine Karte für das Konzert.,"die Landkarte, die Postkarte"
Ticket,das,ticket,Tickets,Das Ticket für den Zug kostet 20 Euro.,"die Karte, die Fahrkarte"
Universität,die,university,Universitäten,Sie studiert an der Universität.,"die Schule, der Student"
Kurs,der,course,Kurse,Ich besuche einen Deutschkurs.,"die Klasse, der Unterricht"
Prüfung,die,exam,Prüfungen,Die Prüfung ist nicht einfach.,"der Test, die Schule"
Hausaufgabe,die,homework,Hausaufgaben,Ich mache meine Hausaufgaben.,"die Schule, der Unterricht"
Fehler,der,mistake,Fehler,Ich habe einen Fehler gemacht.,"das Problem, die Korrektur"
Frage,die,question,Fragen,Ich habe eine Frage.,"die Antwort, das Problem"
Antwort,die,answer,Antworten,Die Antwort ist richtig.,"die Frage, die Lösung"
Problem,das,problem,Probleme,Das ist kein großes Problem.,"die Lösung, die Schwierigkeit"
Idee,die,idea,Ideen,Das ist eine gute Idee!,"der Gedanke, der Plan"
Grund,der,reason,Gründe,Das ist der Grund.,"die Ursache, die Erklärung"
