number,word,english,example
0,null,zero,Null Grad Celsius ist kalt.
1,eins,one,Ich habe nur einen Euro.
2,zwei,two,Es gibt zwei Äpfel auf dem Tisch.
3,drei,three,Ich habe drei Kinder.
4,vier,four,Es ist vier Uhr nachmittags.
5,fünf,five,Ich arbeite fünf Tage pro Woche.
6,sechs,six,Das Haus hat sechs Zimmer.
7,sieben,seven,Die Woche hat sieben Tage.
8,acht,eight,Der Bus kommt um acht Uhr.
9,neun,nine,Ich wohne in Hausnummer neun.
10,zehn,ten,Ich habe zehn Finger.
11,elf,eleven,Das Geschäft öffnet um elf Uhr.
12,zwölf,twelve,Es ist zwölf Uhr mittags.
13,dreizehn,thirteen,Meine Tochter ist dreizehn Jahre alt.
14,vierzehn,fourteen,Der Zug fährt um vierzehn Uhr ab.
15,fünfzehn,fifteen,Ich mache fünfzehn Minuten Pause.
16,sechzehn,sixteen,Mein Sohn wird sechzehn.
17,siebzehn,seventeen,Das kostet siebzehn Euro.
18,achtzehn,eighteen,Sie ist achtzehn Jahre alt.
19,neunzehn,nineteen,Ich bin neunzehn Jahre alt.
20,zwanzig,twenty,Das Buch kostet zwanzig Euro.
21,einundzwanzig,twenty-one,Ich bin einundzwanzig Jahre alt.
22,zweiundzwanzig,twenty-two,Der Bus Nummer zweiundzwanzig kommt gleich.
23,dreiundzwanzig,twenty-three,Es ist dreiundzwanzig Uhr.
24,vierundzwanzig,twenty-four,Ein Tag hat vierundzwanzig Stunden.
25,fünfundzwanzig,twenty-five,Ich bezahle fünfundzwanzig Euro.
26,sechsundzwanzig,twenty-six,Die Temperatur ist sechsundzwanzig Grad.
27,siebenundzwanzig,twenty-seven,Ich wohne in Hausnummer siebenundzwanzig.
28,achtundzwanzig,twenty-eight,Februar hat achtundzwanzig Tage.
29,neunundzwanzig,twenty-nine,Morgen ist der neunundzwanzigste.
30,dreißig,thirty,Ich bin dreißig Jahre alt.
31,einunddreißig,thirty-one,Januar hat einunddreißig Tage.
32,zweiunddreißig,thirty-two,Die Temperatur ist zweiunddreißig Grad.
33,dreiunddreißig,thirty-three,Er ist dreiunddreißig Jahre alt.
34,vierunddreißig,thirty-four,Das kostet vierunddreißig Euro.
35,fünfunddreißig,thirty-five,Die Fahrt dauert fünfunddreißig Minuten.
36,sechsunddreißig,thirty-six,Sie ist sechsunddreißig Jahre alt.
37,siebenunddreißig,thirty-seven,Das Haus hat die Nummer siebenunddreißig.
38,achtunddreißig,thirty-eight,Die Schuhe kosten achtunddreißig Euro.
39,neununddreißig,thirty-nine,Er arbeitet neununddreißig Stunden pro Woche.
40,vierzig,forty,Ich bin vierzig Jahre alt.
41,einundvierzig,forty-one,Die Temperatur ist einundvierzig Grad.
42,zweiundvierzig,forty-two,Die Antwort ist zweiundvierzig.
43,dreiundvierzig,forty-three,Das kostet dreiundvierzig Euro.
44,vierundvierzig,forty-four,Sie ist vierundvierzig Jahre alt.
45,fünfundvierzig,forty-five,Die Pause dauert fünfundvierzig Minuten.
46,sechsundvierzig,forty-six,Er wiegt sechsundvierzig Kilo.
