pronoun,english,type,gender,case,form,example
mein,my,possessive,Masculine,nominative,mein,Das ist mein Bruder.
mein,my,possessive,Masculine,accusative,meinen,Ich sehe meinen Bruder.
mein,my,possessive,Masculine,dative,meinem,Ich gebe meinem Bruder das Buch.
mein,my,possessive,Masculine,genitive,meines,Das ist das Auto meines Bruders.
mein,my,possessive,Feminine,nominative,meine,Das ist meine Schwester.
mein,my,possessive,Feminine,accusative,meine,Ich sehe meine Schwester.
mein,my,possessive,Feminine,dative,meiner,Ich gebe meiner Schwester das Buch.
mein,my,possessive,Feminine,genitive,meiner,Das ist das Auto meiner Schwester.
mein,my,possessive,Neutral,nominative,mein,Das ist mein Auto.
mein,my,possessive,Neutral,accusative,mein,Ich sehe mein Auto.
mein,my,possessive,Neutral,dative,meinem,Ich gebe meinem Auto einen Namen.
mein,my,possessive,Neutral,genitive,meines,Das ist der Schlüssel meines Autos.
mein,my,possessive,Plural,nominative,meine,Das sind meine Eltern.
mein,my,possessive,Plural,accusative,meine,Ich sehe meine Eltern.
mein,my,possessive,Plural,dative,meinen,Ich gebe meinen Eltern das Buch.
mein,my,possessive,Plural,genitive,meiner,Das ist das Haus meiner Eltern.
dein,your (informal),possessive,Masculine,nominative,dein,Das ist dein Bruder.
dein,your (informal),possessive,Masculine,accusative,deinen,Ich sehe deinen Bruder.
dein,your (informal),possessive,Masculine,dative,deinem,Ich gebe deinem Bruder das Buch.
dein,your (informal),possessive,Masculine,genitive,deines,Das ist das Auto deines Bruders.
dein,your (informal),possessive,Feminine,nominative,deine,Das ist deine Schwester.
dein,your (informal),possessive,Feminine,accusative,deine,Ich sehe deine Schwester.
dein,your (informal),possessive,Feminine,dative,deiner,Ich gebe deiner Schwester das Buch.
dein,your (informal),possessive,Feminine,genitive,deiner,Das ist das Auto deiner Schwester.
dein,your (informal),possessive,Neutral,nominative,dein,Das ist dein Auto.
dein,your (informal),possessive,Neutral,accusative,dein,Ich sehe dein Auto.
dein,your (informal),possessive,Neutral,dative,deinem,Ich gebe deinem Auto einen Namen.
dein,your (informal),possessive,Neutral,genitive,deines,Das ist der Schlüssel deines Autos.
dein,your (informal),possessive,Plural,nominative,deine,Das sind deine Eltern.
dein,your (informal),possessive,Plural,accusative,deine,Ich sehe deine Eltern.
dein,your (informal),possessive,Plural,dative,deinen,Ich gebe deinen Eltern das Buch.
dein,your (informal),possessive,Plural,genitive,deiner,Das ist das Haus deiner Eltern.
sein,his,possessive,Masculine,nominative,sein,Das ist sein Bruder.
sein,his,possessive,Masculine,accusative,seinen,Ich sehe seinen Bruder.
sein,his,possessive,Masculine,dative,seinem,Ich gebe seinem Bruder das Buch.
sein,his,possessive,Masculine,genitive,seines,Das ist das Auto seines Bruders.
sein,his,possessive,Feminine,nominative,seine,Das ist seine Schwester.
sein,his,possessive,Feminine,accusative,seine,Ich sehe seine Schwester.
sein,his,possessive,Feminine,dative,seiner,Ich gibt seiner Schwester das Buch.
sein,his,possessive,Feminine,genitive,seiner,Das ist das Auto seiner Schwester.
